Date_of_Journey,Airline,Source,Destination,Product,Customer,Revenue
2021-08-23,FlyDubai,Chennai,Dubai,Business,First Flyer,331821.44997383136
2021-08-24,FlyDubai,Chennai,Dubai,Business,First Flyer,342494.488283082
2021-08-25,FlyDubai,Chennai,Dubai,Business,First Flyer,338454.00940425677
2021-08-26,FlyDubai,Chennai,Dubai,Business,First Flyer,305936.2942521914
2021-08-27,FlyDubai,Chennai,Dubai,Business,First Flyer,320811.17767448793
2021-08-28,FlyDubai,Chennai,Dubai,Business,First Flyer,325561.30074067
2021-08-29,FlyDubai,Chennai,Dubai,Business,First Flyer,344302.87642506993
2021-08-30,FlyDubai,Chennai,Dubai,Business,First Flyer,332431.39701616677
2021-08-31,FlyDubai,Chennai,Dubai,Business,First Flyer,343104.43532550393
2021-09-01,FlyDubai,Chennai,Dubai,Business,First Flyer,339063.9564466793
2021-09-02,FlyDubai,Chennai,Dubai,Business,First Flyer,306546.24129458057
2021-09-03,FlyDubai,Chennai,Dubai,Business,First Flyer,321421.124718926
2021-09-04,FlyDubai,Chennai,Dubai,Business,First Flyer,326171.24778713105
2021-09-05,FlyDubai,Chennai,Dubai,Business,First Flyer,344912.8234735415
2021-09-06,FlyDubai,Chennai,Dubai,Business,First Flyer,333041.344066686
2021-09-07,FlyDubai,Chennai,Dubai,Business,First Flyer,343714.3823779919
2021-09-08,FlyDubai,Chennai,Dubai,Business,First Flyer,339673.90350121615
2021-09-09,FlyDubai,Chennai,Dubai,Business,First Flyer,307156.1883511531
2021-09-10,FlyDubai,Chennai,Dubai,Business,First Flyer,322031.0717755575
2021-09-11,FlyDubai,Chennai,Dubai,Business,First Flyer,326781.1948436975
2021-09-12,FlyDubai,Chennai,Dubai,Business,First Flyer,345522.77053015924
2021-09-13,FlyDubai,Chennai,Dubai,Business,First Flyer,333651.2911232772
2021-09-14,FlyDubai,Chennai,Dubai,Business,First Flyer,344324.3294346501
2021-09-15,FlyDubai,Chennai,Dubai,Business,First Flyer,340283.85055459035
2021-09-16,FlyDubai,Chennai,Dubai,Business,First Flyer,307766.1354012948
2021-09-17,FlyDubai,Chennai,Dubai,Business,First Flyer,322641.01882237877
2021-09-18,FlyDubai,Chennai,Dubai,Business,First Flyer,327391.1418873477
2021-09-19,FlyDubai,Chennai,Dubai,Business,First Flyer,346132.71757055516
2021-09-20,FlyDubai,Chennai,Dubai,Business,First Flyer,334261.2381604636
2021-09-21,FlyDubai,Chennai,Dubai,Business,First Flyer,344934.2764685662
2021-09-22,FlyDubai,Chennai,Dubai,Business,First Flyer,340893.7975885383
